300	59
333	59
366	59
403	71
417	107
417	139
403	174
429	201
468	190
500	190
536	201
549	235
549	267
549	301
549	332
549	364
535	400
500	415
467	415
431	399
403	425
417	461
417	493
401	529
366	540
333	540
300	540
267	540
233	540
196	527
183	493
183	461
196	425
169	401
132	411
99	411
63	398
48	364
48	332
48	301
48	267
48	236
61	199
99	187
131	187
169	198
195	173
183	139
183	107
196	71
233	59
267	59
300	107
300	139
300	169
300	200
300	232
300	266
501	301
470	301
438	301
405	301
371	301
335	301
300	494
300	462
300	430
300	398
300	366
300	331
97	301
127	301
158	301
191	301
225	301
265	299


52	58
109	58
52	116
109	116
489	59
545	59
489	116
545	116
489	489
545	489
545	547
489	547
52	488
109	488
52	547
109	547



33	173
432	44
561	427
168	555

