450	89
500	89
549	89
605	106
625	160
625	208
605	261
644	301
702	285
750	285
804	301
823	297
823	401
823	451
823	498
823	546
802	600
750	622
700	622
646	598
605	637
625	691
625	739
602	794
549	810
500	810
450	810
400	810
349	810
294	791
274	739
274	691
294	637
254	601
197	616
149	616
94	597
72	546
72	498
72	451
72	401
72	354
92	299
149	280
197	280
254	297
292	260
274	208
274	160
29399	106
350	89
400	89
450	160
450	208
450	254
450	300
450	348
450	398
752	451
705	451
657	451
608	451
556	451
502	451
450	741
450	693
450	645
450	597
450	549
450	496
145	451
191	451
237	451
287	451
338	451
397	449
